full_id,osm_id,osm_type,fare_zone,line,name,name:he,name:ru,network,operator,public_transport,railway,source_ref,station,subway,wheelchair,wikidata,wikipedia,platforms,naptan:AtcoCode,network:subway,network:train,operator:subway,operator:train,ref:crs,ref:tiploc,train,old_name,name:da,access,bicycle,bicycle:conditional,start_date,wikimedia_commons,alt_name,name:fr,railway:ref:DB,toilets:wheelchair,uic_ref,website,website:departures,internet_access,internet_access:fee,internet_access:ssid,addr:postcode,addr:street,layer,level,amenity,ferry,name:en,addr:housename,internet_access:access,internet_access:operator,colour,source:building,source:name,addr:city,addr:country,alt_name:ru,wheelchair:description,note:wheelchair,source:network,indoor,description,ref:stanox,barrier,addr:housenumber,entrance,disused:man_made,email,image
n6414013291,"6414013291",node,"1",Central,Marble Arch,,Марбл-Арч,London Underground,,station,station,,subway,yes,,Q786259,en:Marble Arch tube station,,,,,,,,,,,Marble Arch Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Мраморная арка,,,,,,,,,,,,
n6414039764,"6414039764",node,"1","Circle;Metropolitan;Hammersmith & City",Great Portland Street,,,London Underground,,station,station,,subway,yes,,Q946924,en:Great Portland Street tube station,"2",,,,,,,,,Portland Road,Great Portland Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6414086721,"6414086721",node,"1","Northern;Victoria",Warren Street,,,London Underground,,station,station,,subway,yes,no,Q1366438,en:Warren Street tube station,,,,,,,,,,Euston Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6414100096,"6414100096",node,"1",Northern,Goodge Street,,Гудж-стрит,London Underground,Transport for London,station,station,,subway,yes,no,Q746880,en:Goodge Street tube station,,,,,,,,,,,,,,,1907-06-22,,,,,,,,,,,,W1T 2HF,Tottenham Court Road,,,,,,,,,,,,London,,,No level access,,,,,,,,,,,
n6419682398,"6419682398",node,,,Drayton Park,,,National Rail,Great Northern,station,station,,,,,Q682110,en:Drayton Park railway station,,9100DRYP,,,,,DYP,,yes,,,,,,,,,,,,,,,,,,N5 1NT,Drayton Park,,,,,,Drayton Park Station,,,,,,,,,,,,,,,,,,,,
n6436648511,"6436648511",node,"2",Jubilee,Kilburn,,,London Underground,,station,station,http://en.wikipedia.org/wiki/List_of_London_Underground_stations#cite_note-usage-6,subway,yes,,Q1741248,en:Kilburn tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,
n6440680616,"6440680616",node,"2","Hammersmith & City;Circle",Westbourne Park,,Уэстбурн-парк,London Underground,,station,station,,subway,yes,no,Q1857925,en:Westbourne Park tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6460794385,"6460794385",node,"2","Circle;Hammersmith & City",Ladbroke Grove,,Лэдброк-Гроув,London Underground,Transport for London,station,station,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q1411854,en:Ladbroke Grove tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6468357440,"6468357440",node,"2",Bakerloo,Queen's Park,,,"London Underground;London Overground",London Underground,station,station,"http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/London_Overground#Stations",subway,yes,limited,Q801347,en:Queen's Park station (England),,9100QPRK,London Underground,London Overground,,,QPW,,yes,,,,,,,,,,,,,,,,,,NW6 6NL,Salusbury Road,,,,,,Queen's Park Station,,,,,,London,GB,,,No entry/exit,Sign,,,,,,,,,
n6472516924,"6472516924",node,"1","Metropolitan;Circle;Hammersmith & City",Euston Square,,Юстон-сквер,London Underground,Transport for London,station,station,,subway,yes,limited,Q1366453,en:Euston Square tube station,"2",,,,,,,,,Gower Street,,,,,1863-01-10,Category:Euston Square tube station,,,,,,,,,,,,,"-2","-2",,,,,,,,,,,,,,,,area,,,,,,,,
n6474389245,"6474389245",node,,Overground,Camden Road,,,"National Rail;London Overground",,station,station,,,,,,en:Camden Road railway station,,,,,,,CMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6514252665,"6514252665",node,,,West Hampstead,,,London Overground,London Overground,station,station,,,,,,en:West Hampstead railway station,,9100WHMDSTD,,,,,WHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6522206880,"6522206880",node,,,West Hampstead Thameslink,,,National Rail,Thameslink,station,station,,,,,,en:West Hampstead Thameslink railway station,,National Rail,,,,,WHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6758474985,"6758474985",node,"1",Bakerloo,Regent's Park,,Риджентс-парк,London Underground,,station,station,,subway,yes,no,Q1259474,en:Regent's Park tube station,,,,,,,,,,,Regent's Park Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This station has Wadsworth lifts modernised by Otis.,,,,,,,
n6758474986,"6758474986",node,"2",Bakerloo,Maida Vale,,Мейда-вейл,London Underground,,station,station,,subway,yes,no,Q1885195,en:Maida Vale tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6991113888,"6991113888",node,,,Hampstead Heath,,,London Overground,London Overground,station,station,"http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/London_Overground#Stations",,,,Q2829947,en:Hampstead Heath railway station,,9100HMPSTDH,,,,,HDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sign,,,,,,,,,
n6993429382,"6993429382",node,,,Kilburn High Road,,,London Overground,London Overground,station,station,http://en.wikipedia.org/wiki/Kilburn_High_Road_station,,,no,Q1800430,en:Kilburn High Road railway station,,9100KLBRNHR,,,,,KBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sign,,,,,,,,,
n6993498103,"6993498103",node,,,Kentish Town West,,,London Overground,London Overground,station,station,,,,no,Q928181,en:Kentish Town West railway station,,9100KNTSHTW,,,,,KTW,,,,,,,,,,,,,,,,,,,,NW5 3LR,Prince of Wales Road,,,,,,Kentish Town West Station,,,,,,,,,,,Sign,,,,,,,,,
n6993522055,"6993522055",node,,Overground,Caledonian Road & Barnsbury,,,London Overground,London Overground,station,station,"http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/London_Overground#Stations",,,,Q5019457,en:Caledonian Road & Barnsbury railway station,,9100CLDNNRB,,,,,CIR,,,,,,,,,,,,,,,,,,,,N1 1DF,Caledonian Road,,,,,,,,,,,,London,GB,,,,Sign,,,,,,,,,
n7132105210,"7132105210",node,,,London Paddington,,Паддингтон,"National Rail;TfL Rail",Network Rail,station,station,,,,yes,,en:London Paddington station,,9100PADTON,,,,,PAD,,yes,,,,,,,,Paddington,,,,,,,,,,W2 1HQ,Praed Street,"1",,,,,,,,,,,,,,,,,,,,,,,,,
n7147478680,"7147478680",node,,,Brondesbury,,,London Overground,London Overground,station,station,"http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/London_Overground#Stations",,,,Q4973856,en:Brondesbury railway station,,9100BRBY,,,,,BSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n7147511743,"7147511743",node,,,Brondesbury Park,,,London Overground,London Overground,station,station,http://en.wikipedia.org/wiki/List_of_London_railway_stations,,,no,Q2691877,en:Brondesbury Park railway station,,9100BRBYPK,,,,,BSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n7147537626,"7147537626",node,,,South Hampstead,,,London Overground,London Overground,station,station,http://en.wikipedia.org/wiki/London_Overground#Stations,,,,Q2587081,en:South Hampstead railway station,,9100SHMPSTD,,,,,SOH,SHMPSTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sign,,,"72314",,,,,,
n7158881499,"7158881499",node,,,Cricklewood,,,National Rail,Thameslink,station,station,http://en.wikipedia.org/wiki/List_of_London_railway_stations,,,,Q2794823,en:Cricklewood railway station,,9100CRKLWD,,,,,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n7159162454,"7159162454",node,,,London King's Cross,,,National Rail,Network Rail,station,station,,,,,Q219867,en:London King's Cross railway station,"12",9100KNGX,,,,,KGX,,,,,,,,,,King's Cross,,,,,,,,,,N1C 4AP,Euston Road,,,,,,,,,,,,,,,,,,,,,,,,,,
n7775331596,"7775331596",node,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,turnstile,,,,,
n7775331597,"7775331597",node,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,turnstile,,,,,
n7775331599,"7775331599",node,,,,,,,,station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,turnstile,,,,,
n7924233823,"7924233823",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonny Street,,,,,,,,,,,,London,,,,,,,,,,"15",yes,,,
n7924233824,"7924233824",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonny Street,,,,,,,,,,,,London,,,,,,,,,,"13",yes,,,
n7924233826,"7924233826",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonny Street,,,,,,,,,,,,London,,,,,,,,,,"21",yes,,,
n7924233837,"7924233837",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drinking_fountain,,
n7924233839,"7924233839",node,,,,,,,,,train_station_entrance,,,,yes,,,,,,,,,,,,,,customers,dismount,"no @ (Mo-Fr 07:30-09:30,16:00-19:00 AND folded=no)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n8062082087,"8062082087",node,,,Jenny Wren Canal Cruises,,,,Walker's Quay,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.walkersquay.com/,,no,,,NW1 8QS,Camden High Street,,,ferry_terminal,yes,,"250 Camden High Street, London, NW1 8QS",,,,,,London,,,,,,,,,,"250",,,info@walkersquay.com,https://www.walkersquay.com/JW%2022.jpg
